dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
a2	0.479121967	8732.347822	0.69935301	82698571716	7876054.449	0.59063097	0.766304634	0.85348104	18	k-means++	300	10	auto
a2	0.47486134	8589.136344	0.732736856	89109476246	8486616.785	0.577131155	0.753621851	0.845309238	17	k-means++	300	10	auto
a2	0.477667165	8511.849968	0.733773613	95658691512	9110351.573	0.558866704	0.741657629	0.839080052	16	k-means++	300	10	auto
a2	0.494824508	8338.745037	0.713004093	1.04254E+11	9928949.568	0.523957305	0.722349842	0.827749545	15	k-means++	300	10	auto
a2	0.494796982	8283.084163	0.718476834	1.12642E+11	10727798.36	0.506871086	0.710761715	0.823544308	14	k-means++	300	10	auto
a2	0.485555325	7851.928265	0.72713513	1.27905E+11	12181401.1	0.478086686	0.692817372	0.813600061	13	k-means++	300	10	auto
a2	0.478335697	7477.688614	0.746045816	1.45428E+11	13850263.29	0.443871145	0.665564741	0.791791105	12	k-means++	300	10	auto
a2	0.472613291	7263.062171	0.745041176	1.63433E+11	15565006.66	0.414966498	0.643767513	0.776267159	11	k-means++	300	10	auto
a2	0.46131234	6912.958007	0.760189125	1.88695E+11	17970940.74	0.361586496	0.602576222	0.741227498	10	k-means++	300	10	auto
a2	0.428678942	6543.202693	0.8552427	2.21079E+11	21055152.76	0.345172369	0.581477218	0.723977578	9	k-means++	300	10	auto
a2	0.428450041	6399.068631	0.800438083	4.13111E+11	39343893.18	0.194247457	0.425817995	0.589648882	5	k-means++	300	10	auto
a2	0.419449317	6311.951973	0.829988423	2.57631E+11	24536320.13	0.314656098	0.554957092	0.705354953	8	k-means++	300	10	auto
a2	0.407187038	6274.095635	0.855574752	2.96963E+11	28282189.12	0.274086175	0.516357842	0.672033257	7	k-means++	300	10	auto
a2	0.425791528	6245.548711	0.778011222	3.49272E+11	33263965.61	0.235058305	0.477024535	0.639436153	6	k-means++	300	10	auto
a2	0.473344772	6154.877339	0.859552344	1.11798E+12	106473960.3	0.055346321	0.188240544	0.316361483	2	k-means++	300	10	auto
